Schooljaar: korte omschrijving;Leerjaar lager;Aantal zittenblijvers;Aantal leerlingen;Marketingnaam
2012-2013;3e leerjaar;0;49;Crea 16
2012-2013;2e leerjaar;0;48;Crea 16
2010-2011;5e leerjaar;1;42;Crea 16
2010-2011;4e leerjaar;0;49;Crea 16
2011-2012;5e leerjaar;0;48;Crea 16
2010-2011;2e leerjaar;1;48;Crea 16
2010-2011;1e leerjaar;3;48;Crea 16
2011-2012;1e leerjaar;2;44;Crea 16
2011-2012;2e leerjaar;0;50;Crea 16
2011-2012;3e leerjaar;0;48;Crea 16
2010-2011;3e leerjaar;2;44;Crea 16
2013-2014;6e leerjaar;0;44;Crea 16
2015-2016;5e leerjaar;0;48;Crea 16
2015-2016;4e leerjaar;1;49;Crea 16
2015-2016;3e leerjaar;0;48;Crea 16
2015-2016;2e leerjaar;0;48;Crea 16
2015-2016;1e leerjaar;0;49;Crea 16
2011-2012;4e leerjaar;0;48;Crea 16
2013-2014;1e leerjaar;1;47;Crea 16
2013-2014;2e leerjaar;0;48;Crea 16
2013-2014;3e leerjaar;1;48;Crea 16
2012-2013;1e leerjaar;0;48;Crea 16
2013-2014;5e leerjaar;0;45;Crea 16
2014-2015;1e leerjaar;0;48;Crea 16
2014-2015;6e leerjaar;0;46;Crea 16
2014-2015;5e leerjaar;0;48;Crea 16
2014-2015;4e leerjaar;0;48;Crea 16
2015-2016;6e leerjaar;0;48;Crea 16
2014-2015;3e leerjaar;0;48;Crea 16
2014-2015;2e leerjaar;1;47;Crea 16
2013-2014;4e leerjaar;1;50;Crea 16
2017-2018;5e leerjaar;0;49;Crea 16
2019-2020;6e leerjaar;0;45;Crea 16
2019-2020;5e leerjaar;0;48;Crea 16
2019-2020;4e leerjaar;0;44;Crea 16
2017-2018;2e leerjaar;0;45;Crea 16
2016-2017;1e leerjaar;0;47;Crea 16
2019-2020;2e leerjaar;0;47;Crea 16
2017-2018;1e leerjaar;0;49;Crea 16
2017-2018;6e leerjaar;0;48;Crea 16
2019-2020;3e leerjaar;0;48;Crea 16
2017-2018;4e leerjaar;0;46;Crea 16
2018-2019;1e leerjaar;1;48;Crea 16
2018-2019;2e leerjaar;0;49;Crea 16
2018-2019;3e leerjaar;1;45;Crea 16
2016-2017;2e leerjaar;0;49;Crea 16
2016-2017;6e leerjaar;0;49;Crea 16
2016-2017;5e leerjaar;0;48;Crea 16
2016-2017;4e leerjaar;0;49;Crea 16
2016-2017;3e leerjaar;0;47;Crea 16
2018-2019;6e leerjaar;0;47;Crea 16
2017-2018;3e leerjaar;0;49;Crea 16
2019-2020;1e leerjaar;0;48;Crea 16
2018-2019;5e leerjaar;0;48;Crea 16
2018-2019;4e leerjaar;0;49;Crea 16
2012-2013;6e leerjaar;0;38;De Kleine Wereld
2015-2016;6e leerjaar;0;53;De Kleine Wereld
2014-2015;3e leerjaar;1;48;De Kleine Wereld
2014-2015;2e leerjaar;3;49;De Kleine Wereld
2011-2012;6e leerjaar;0;42;De Kleine Wereld
2011-2012;4e leerjaar;3;48;De Kleine Wereld
2014-2015;1e leerjaar;1;48;De Kleine Wereld
2011-2012;3e leerjaar;4;47;De Kleine Wereld
2011-2012;2e leerjaar;4;68;De Kleine Wereld
2011-2012;1e leerjaar;3;48;De Kleine Wereld
2011-2012;5e leerjaar;0;44;De Kleine Wereld
2013-2014;3e leerjaar;2;48;De Kleine Wereld
2010-2011;1e leerjaar;8;65;De Kleine Wereld
2010-2011;2e leerjaar;0;48;De Kleine Wereld
2010-2011;3e leerjaar;3;49;De Kleine Wereld
2010-2011;4e leerjaar;3;48;De Kleine Wereld
2010-2011;5e leerjaar;1;45;De Kleine Wereld
2010-2011;6e leerjaar;0;41;De Kleine Wereld
2015-2016;1e leerjaar;0;45;De Kleine Wereld
2015-2016;2e leerjaar;0;45;De Kleine Wereld
2015-2016;3e leerjaar;0;46;De Kleine Wereld
2015-2016;4e leerjaar;1;50;De Kleine Wereld
2015-2016;5e leerjaar;0;43;De Kleine Wereld
2014-2015;5e leerjaar;1;58;De Kleine Wereld
2013-2014;2e leerjaar;4;51;De Kleine Wereld
2012-2013;5e leerjaar;1;43;De Kleine Wereld
2013-2014;5e leerjaar;1;41;De Kleine Wereld
2013-2014;6e leerjaar;0;42;De Kleine Wereld
2012-2013;1e leerjaar;1;52;De Kleine Wereld
2014-2015;6e leerjaar;0;39;De Kleine Wereld
2014-2015;4e leerjaar;5;43;De Kleine Wereld
2012-2013;2e leerjaar;2;47;De Kleine Wereld
2013-2014;4e leerjaar;2;64;De Kleine Wereld
2012-2013;3e leerjaar;6;65;De Kleine Wereld
2013-2014;1e leerjaar;3;48;De Kleine Wereld
2012-2013;4e leerjaar;2;44;De Kleine Wereld
2018-2019;4e leerjaar;0;48;De Kleine Wereld
2019-2020;2e leerjaar;0;43;De Kleine Wereld
2019-2020;1e leerjaar;2;47;De Kleine Wereld
2016-2017;2e leerjaar;0;42;De Kleine Wereld
2016-2017;1e leerjaar;4;48;De Kleine Wereld
2019-2020;4e leerjaar;0;46;De Kleine Wereld
2018-2019;1e leerjaar;2;47;De Kleine Wereld
2018-2019;2e leerjaar;1;44;De Kleine Wereld
2019-2020;5e leerjaar;0;44;De Kleine Wereld
2016-2017;3e leerjaar;3;49;De Kleine Wereld
2019-2020;6e leerjaar;0;46;De Kleine Wereld
2019-2020;3e leerjaar;2;44;De Kleine Wereld
2017-2018;1e leerjaar;3;47;De Kleine Wereld
2018-2019;3e leerjaar;0;48;De Kleine Wereld
2018-2019;5e leerjaar;0;48;De Kleine Wereld
2017-2018;6e leerjaar;0;47;De Kleine Wereld
2017-2018;5e leerjaar;0;48;De Kleine Wereld
2017-2018;4e leerjaar;0;48;De Kleine Wereld
2017-2018;3e leerjaar;1;44;De Kleine Wereld
2017-2018;2e leerjaar;1;47;De Kleine Wereld
2016-2017;4e leerjaar;0;48;De Kleine Wereld
2016-2017;5e leerjaar;1;48;De Kleine Wereld
2016-2017;6e leerjaar;0;41;De Kleine Wereld
2018-2019;6e leerjaar;0;45;De Kleine Wereld
2010-2011;4e leerjaar;5;17;Sportomundo
2010-2011;6e leerjaar;0;7;Sportomundo
2010-2011;5e leerjaar;3;16;Sportomundo
2010-2011;2e leerjaar;4;22;Sportomundo
2010-2011;3e leerjaar;3;19;Sportomundo
2010-2011;1e leerjaar;5;34;Sportomundo
2012-2013;3e leerjaar;0;22;Sportomundo
2012-2013;6e leerjaar;0;10;Sportomundo
2014-2015;1e leerjaar;6;36;Sportomundo
2012-2013;4e leerjaar;0;16;Sportomundo
2015-2016;6e leerjaar;5;25;Sportomundo
2012-2013;2e leerjaar;0;23;Sportomundo
2012-2013;1e leerjaar;0;33;Sportomundo
2012-2013;5e leerjaar;0;11;Sportomundo
2011-2012;1e leerjaar;1;27;Sportomundo
2010-2011;1e leerjaar;1;29;Sportomundo
2010-2011;2e leerjaar;3;17;Sportomundo
2010-2011;3e leerjaar;3;9;Sportomundo
2010-2011;4e leerjaar;3;14;Sportomundo
2010-2011;5e leerjaar;0;11;Sportomundo
2010-2011;6e leerjaar;0;10;Sportomundo
2013-2014;5e leerjaar;1;12;Sportomundo
2013-2014;4e leerjaar;0;16;Sportomundo
2013-2014;3e leerjaar;2;20;Sportomundo
2013-2014;2e leerjaar;1;27;Sportomundo
2013-2014;1e leerjaar;4;34;Sportomundo
2014-2015;2e leerjaar;1;27;Sportomundo
2013-2014;6e leerjaar;0;18;Sportomundo
2015-2016;4e leerjaar;1;20;Sportomundo
2011-2012;2e leerjaar;0;23;Sportomundo
2011-2012;3e leerjaar;0;14;Sportomundo
2011-2012;4e leerjaar;0;10;Sportomundo
2011-2012;5e leerjaar;0;10;Sportomundo
2011-2012;6e leerjaar;1;12;Sportomundo
2015-2016;3e leerjaar;1;25;Sportomundo
2015-2016;2e leerjaar;0;32;Sportomundo
2015-2016;1e leerjaar;7;42;Sportomundo
2014-2015;6e leerjaar;5;18;Sportomundo
2014-2015;5e leerjaar;2;16;Sportomundo
2014-2015;4e leerjaar;1;18;Sportomundo
2014-2015;3e leerjaar;3;22;Sportomundo
2015-2016;5e leerjaar;0;18;Sportomundo
2017-2018;6e leerjaar;4;28;Sportomundo
2017-2018;5e leerjaar;2;13;Sportomundo
2017-2018;4e leerjaar;2;25;Sportomundo
2017-2018;2e leerjaar;2;37;Sportomundo
2017-2018;1e leerjaar;8;51;Sportomundo
2017-2018;3e leerjaar;1;32;Sportomundo
2016-2017;6e leerjaar;3;24;Sportomundo
2019-2020;4e leerjaar;3;27;Sportomundo
2018-2019;1e leerjaar;6;49;Sportomundo
2018-2019;2e leerjaar;6;42;Sportomundo
2018-2019;3e leerjaar;3;32;Sportomundo
2016-2017;1e leerjaar;5;51;Sportomundo
2016-2017;2e leerjaar;1;34;Sportomundo
2016-2017;3e leerjaar;1;33;Sportomundo
2018-2019;5e leerjaar;1;18;Sportomundo
2016-2017;5e leerjaar;0;20;Sportomundo
2019-2020;3e leerjaar;1;33;Sportomundo
2018-2019;4e leerjaar;0;23;Sportomundo
2018-2019;6e leerjaar;6;19;Sportomundo
2019-2020;6e leerjaar;0;10;Sportomundo
2019-2020;5e leerjaar;8;26;Sportomundo
2019-2020;1e leerjaar;6;43;Sportomundo
2019-2020;2e leerjaar;5;39;Sportomundo
2016-2017;4e leerjaar;1;18;Sportomundo
2011-2012;2e leerjaar;0;9;Sportomundo
2011-2012;1e leerjaar;1;21;Sportomundo
2010-2011;1e leerjaar;26;73;Villa Stuivenberg
2010-2011;2e leerjaar;3;37;Villa Stuivenberg
2010-2011;3e leerjaar;7;49;Villa Stuivenberg
2010-2011;6e leerjaar;0;22;Villa Stuivenberg
2010-2011;5e leerjaar;2;34;Villa Stuivenberg
2010-2011;4e leerjaar;1;35;Villa Stuivenberg
2015-2016;5e leerjaar;1;14;Villa Stuivenberg
2011-2012;5e leerjaar;0;40;Villa Stuivenberg
2011-2012;4e leerjaar;4;29;Villa Stuivenberg
2011-2012;3e leerjaar;8;45;Villa Stuivenberg
2012-2013;1e leerjaar;24;76;Villa Stuivenberg
2015-2016;1e leerjaar;22;69;Villa Stuivenberg
2011-2012;2e leerjaar;6;51;Villa Stuivenberg
2011-2012;6e leerjaar;0;16;Villa Stuivenberg
2015-2016;4e leerjaar;3;39;Villa Stuivenberg
2011-2012;1e leerjaar;29;79;Villa Stuivenberg
2015-2016;6e leerjaar;0;21;Villa Stuivenberg
2013-2014;6e leerjaar;0;22;Villa Stuivenberg
2013-2014;5e leerjaar;1;28;Villa Stuivenberg
2013-2014;4e leerjaar;1;40;Villa Stuivenberg
2013-2014;3e leerjaar;10;45;Villa Stuivenberg
2013-2014;2e leerjaar;12;52;Villa Stuivenberg
2013-2014;1e leerjaar;20;69;Villa Stuivenberg
2015-2016;3e leerjaar;13;59;Villa Stuivenberg
2014-2015;6e leerjaar;0;22;Villa Stuivenberg
2012-2013;6e leerjaar;0;20;Villa Stuivenberg
2014-2015;1e leerjaar;17;76;Villa Stuivenberg
2014-2015;2e leerjaar;6;56;Villa Stuivenberg
2014-2015;3e leerjaar;14;53;Villa Stuivenberg
2015-2016;2e leerjaar;9;51;Villa Stuivenberg
2014-2015;5e leerjaar;2;26;Villa Stuivenberg
2012-2013;5e leerjaar;2;40;Villa Stuivenberg
2012-2013;4e leerjaar;3;26;Villa Stuivenberg
2012-2013;3e leerjaar;14;59;Villa Stuivenberg
2012-2013;2e leerjaar;7;54;Villa Stuivenberg
2014-2015;4e leerjaar;6;32;Villa Stuivenberg
2016-2017;5e leerjaar;1;22;Villa Stuivenberg
2019-2020;1e leerjaar;14;52;Villa Stuivenberg
2019-2020;6e leerjaar;7;35;Villa Stuivenberg
2018-2019;1e leerjaar;15;64;Villa Stuivenberg
2018-2019;2e leerjaar;8;57;Villa Stuivenberg
2018-2019;3e leerjaar;3;45;Villa Stuivenberg
2018-2019;4e leerjaar;2;35;Villa Stuivenberg
2018-2019;5e leerjaar;2;32;Villa Stuivenberg
2016-2017;3e leerjaar;2;44;Villa Stuivenberg
2019-2020;4e leerjaar;2;31;Villa Stuivenberg
2017-2018;1e leerjaar;17;60;Villa Stuivenberg
2019-2020;5e leerjaar;3;35;Villa Stuivenberg
2019-2020;2e leerjaar;11;55;Villa Stuivenberg
2018-2019;6e leerjaar;4;39;Villa Stuivenberg
2016-2017;6e leerjaar;0;14;Villa Stuivenberg
2016-2017;4e leerjaar;9;59;Villa Stuivenberg
2016-2017;2e leerjaar;7;46;Villa Stuivenberg
2016-2017;1e leerjaar;17;76;Villa Stuivenberg
2017-2018;6e leerjaar;0;32;Villa Stuivenberg
2017-2018;5e leerjaar;1;34;Villa Stuivenberg
2017-2018;4e leerjaar;0;39;Villa Stuivenberg
2017-2018;3e leerjaar;6;46;Villa Stuivenberg
2017-2018;2e leerjaar;3;54;Villa Stuivenberg
2019-2020;3e leerjaar;3;49;Villa Stuivenberg
2015-2016;3e leerjaar;2;71;De Sterrenkijker
2015-2016;4e leerjaar;0;69;De Sterrenkijker
2015-2016;5e leerjaar;0;49;De Sterrenkijker
2015-2016;6e leerjaar;0;21;De Sterrenkijker
2012-2013;1e leerjaar;1;63;De Sterrenkijker
2013-2014;1e leerjaar;1;69;De Sterrenkijker
2013-2014;2e leerjaar;4;71;De Sterrenkijker
2014-2015;3e leerjaar;2;67;De Sterrenkijker
2014-2015;5e leerjaar;0;21;De Sterrenkijker
2013-2014;3e leerjaar;3;46;De Sterrenkijker
2011-2012;1e leerjaar;0;42;De Sterrenkijker
2013-2014;4e leerjaar;0;21;De Sterrenkijker
2014-2015;2e leerjaar;4;72;De Sterrenkijker
2014-2015;1e leerjaar;2;83;De Sterrenkijker
2012-2013;3e leerjaar;0;21;De Sterrenkijker
2012-2013;2e leerjaar;0;43;De Sterrenkijker
2015-2016;1e leerjaar;0;91;De Sterrenkijker
2015-2016;2e leerjaar;1;81;De Sterrenkijker
2014-2015;4e leerjaar;0;47;De Sterrenkijker
2011-2012;2e leerjaar;0;15;De Sterrenkijker
2019-2020;3e leerjaar;2;63;De Sterrenkijker
2016-2017;5e leerjaar;0;65;De Sterrenkijker
2016-2017;4e leerjaar;0;71;De Sterrenkijker
2016-2017;3e leerjaar;1;77;De Sterrenkijker
2016-2017;2e leerjaar;2;86;De Sterrenkijker
2016-2017;1e leerjaar;1;66;De Sterrenkijker
2016-2017;6e leerjaar;0;48;De Sterrenkijker
2017-2018;1e leerjaar;1;63;De Sterrenkijker
2018-2019;2e leerjaar;1;56;De Sterrenkijker
2018-2019;3e leerjaar;1;65;De Sterrenkijker
2019-2020;2e leerjaar;3;70;De Sterrenkijker
2018-2019;4e leerjaar;0;80;De Sterrenkijker
2018-2019;5e leerjaar;1;79;De Sterrenkijker
2018-2019;6e leerjaar;0;66;De Sterrenkijker
2019-2020;1e leerjaar;1;69;De Sterrenkijker
2019-2020;6e leerjaar;0;78;De Sterrenkijker
2019-2020;4e leerjaar;2;66;De Sterrenkijker
2019-2020;5e leerjaar;0;80;De Sterrenkijker
2018-2019;1e leerjaar;3;68;De Sterrenkijker
2017-2018;6e leerjaar;1;66;De Sterrenkijker
2017-2018;5e leerjaar;0;69;De Sterrenkijker
2017-2018;4e leerjaar;1;77;De Sterrenkijker
2017-2018;3e leerjaar;1;87;De Sterrenkijker
2017-2018;2e leerjaar;2;66;De Sterrenkijker
2013-2014;6e leerjaar;0;15;Creatopia
2015-2016;1e leerjaar;4;61;Creatopia
2015-2016;2e leerjaar;2;55;Creatopia
2015-2016;3e leerjaar;3;49;Creatopia
2015-2016;4e leerjaar;0;32;Creatopia
2015-2016;5e leerjaar;0;37;Creatopia
2015-2016;6e leerjaar;0;22;Creatopia
2011-2012;5e leerjaar;5;20;Creatopia
2013-2014;3e leerjaar;1;47;Creatopia
2010-2011;5e leerjaar;3;20;Creatopia
2010-2011;6e leerjaar;0;11;Creatopia
2012-2013;1e leerjaar;4;69;Creatopia
2013-2014;4e leerjaar;1;32;Creatopia
2010-2011;3e leerjaar;3;28;Creatopia
2011-2012;6e leerjaar;0;15;Creatopia
2010-2011;2e leerjaar;4;34;Creatopia
2011-2012;4e leerjaar;2;27;Creatopia
2011-2012;3e leerjaar;2;26;Creatopia
2011-2012;2e leerjaar;6;39;Creatopia
2011-2012;1e leerjaar;14;61;Creatopia
2013-2014;1e leerjaar;5;60;Creatopia
2013-2014;2e leerjaar;0;52;Creatopia
2013-2014;5e leerjaar;1;17;Creatopia
2014-2015;6e leerjaar;0;17;Creatopia
2010-2011;1e leerjaar;7;50;Creatopia
2014-2015;1e leerjaar;7;62;Creatopia
2014-2015;2e leerjaar;5;54;Creatopia
2014-2015;3e leerjaar;1;39;Creatopia
2012-2013;2e leerjaar;1;51;Creatopia
2014-2015;4e leerjaar;4;44;Creatopia
2014-2015;5e leerjaar;0;22;Creatopia
2012-2013;3e leerjaar;0;38;Creatopia
2012-2013;4e leerjaar;2;26;Creatopia
2010-2011;4e leerjaar;5;21;Creatopia
2012-2013;5e leerjaar;0;22;Creatopia
2012-2013;6e leerjaar;0;19;Creatopia
2019-2020;5e leerjaar;2;33;Creatopia
2016-2017;6e leerjaar;0;27;Creatopia
2019-2020;1e leerjaar;6;52;Creatopia
2019-2020;2e leerjaar;8;43;Creatopia
2019-2020;4e leerjaar;10;47;Creatopia
2016-2017;5e leerjaar;1;27;Creatopia
2018-2019;1e leerjaar;7;62;Creatopia
2018-2019;2e leerjaar;3;60;Creatopia
2018-2019;3e leerjaar;6;59;Creatopia
2018-2019;4e leerjaar;9;55;Creatopia
2019-2020;6e leerjaar;0;28;Creatopia
2019-2020;3e leerjaar;7;49;Creatopia
2016-2017;1e leerjaar;6;69;Creatopia
2017-2018;4e leerjaar;6;51;Creatopia
2017-2018;3e leerjaar;2;50;Creatopia
2016-2017;4e leerjaar;4;43;Creatopia
2017-2018;2e leerjaar;3;62;Creatopia
2018-2019;5e leerjaar;4;43;Creatopia
2017-2018;5e leerjaar;2;29;Creatopia
2018-2019;6e leerjaar;0;21;Creatopia
2017-2018;6e leerjaar;0;14;Creatopia
2016-2017;2e leerjaar;3;58;Creatopia
2017-2018;1e leerjaar;5;68;Creatopia
2016-2017;3e leerjaar;4;50;Creatopia
2015-2016;5e leerjaar;2;46;De Tandem
2015-2016;3e leerjaar;6;77;De Tandem
2014-2015;6e leerjaar;0;30;De Tandem
2010-2011;1e leerjaar;8;76;De Tandem
2015-2016;1e leerjaar;16;91;De Tandem
2015-2016;2e leerjaar;2;75;De Tandem
2010-2011;6e leerjaar;2;41;De Tandem
2010-2011;5e leerjaar;1;40;De Tandem
2015-2016;6e leerjaar;0;39;De Tandem
2010-2011;2e leerjaar;7;58;De Tandem
2013-2014;5e leerjaar;1;42;De Tandem
2014-2015;1e leerjaar;15;98;De Tandem
2014-2015;2e leerjaar;3;68;De Tandem
2014-2015;3e leerjaar;8;81;De Tandem
2010-2011;3e leerjaar;6;44;De Tandem
2011-2012;1e leerjaar;5;74;De Tandem
2012-2013;1e leerjaar;11;93;De Tandem
2012-2013;2e leerjaar;7;72;De Tandem
2012-2013;3e leerjaar;8;69;De Tandem
2012-2013;5e leerjaar;0;32;De Tandem
2012-2013;6e leerjaar;0;46;De Tandem
2011-2012;6e leerjaar;0;31;De Tandem
2011-2012;5e leerjaar;3;56;De Tandem
2011-2012;4e leerjaar;5;42;De Tandem
2011-2012;2e leerjaar;4;68;De Tandem
2013-2014;1e leerjaar;12;83;De Tandem
2013-2014;3e leerjaar;5;70;De Tandem
2014-2015;5e leerjaar;2;48;De Tandem
2013-2014;6e leerjaar;0;31;De Tandem
2011-2012;3e leerjaar;0;19;De Tandem
2013-2014;2e leerjaar;5;78;De Tandem
2019-2020;6e leerjaar;1;47;De Tandem
2019-2020;4e leerjaar;3;72;De Tandem
2018-2019;3e leerjaar;3;22;De Tandem
2019-2020;3e leerjaar;5;68;De Tandem
2018-2019;5e leerjaar;0;52;De Tandem
2018-2019;6e leerjaar;0;58;De Tandem
2019-2020;5e leerjaar;4;75;De Tandem
2016-2017;1e leerjaar;13;94;De Tandem
2017-2018;2e leerjaar;1;79;De Tandem
2017-2018;3e leerjaar;0;20;De Tandem
2017-2018;5e leerjaar;3;70;De Tandem
2017-2018;6e leerjaar;0;48;De Tandem
2018-2019;2e leerjaar;8;64;De Tandem
2018-2019;1e leerjaar;6;59;De Tandem
2016-2017;6e leerjaar;0;39;De Tandem
2016-2017;5e leerjaar;4;64;De Tandem
2016-2017;2e leerjaar;8;86;De Tandem
2017-2018;1e leerjaar;9;69;De Tandem
2015-2016;4e leerjaar;4;72;De Tandem
2012-2013;4e leerjaar;1;47;De Tandem
2011-2012;3e leerjaar;4;40;De Tandem
2013-2014;4e leerjaar;1;56;De Tandem
2010-2011;4e leerjaar;8;69;De Tandem
2014-2015;4e leerjaar;2;54;De Tandem
2018-2019;4e leerjaar;2;76;De Tandem
2018-2019;3e leerjaar;3;53;De Tandem
2019-2020;2e leerjaar;6;68;De Tandem
2019-2020;1e leerjaar;9;68;De Tandem
2016-2017;3e leerjaar;7;64;De Tandem
2017-2018;4e leerjaar;3;57;De Tandem
2017-2018;3e leerjaar;4;62;De Tandem
2016-2017;4e leerjaar;6;76;De Tandem
2011-2012;3e leerjaar;8;46;De Piramide
2015-2016;1e leerjaar;12;58;De Piramide
2014-2015;4e leerjaar;3;41;De Piramide
2014-2015;2e leerjaar;2;49;De Piramide
2015-2016;3e leerjaar;5;46;De Piramide
2010-2011;6e leerjaar;0;32;De Piramide
2014-2015;1e leerjaar;8;60;De Piramide
2011-2012;6e leerjaar;0;22;De Piramide
2015-2016;5e leerjaar;3;37;De Piramide
2011-2012;4e leerjaar;5;42;De Piramide
2014-2015;5e leerjaar;1;40;De Piramide
2011-2012;2e leerjaar;6;47;De Piramide
2015-2016;6e leerjaar;0;36;De Piramide
2015-2016;4e leerjaar;7;51;De Piramide
2014-2015;3e leerjaar;8;51;De Piramide
2014-2015;6e leerjaar;0;28;De Piramide
2015-2016;2e leerjaar;6;50;De Piramide
2011-2012;5e leerjaar;0;37;De Piramide
2013-2014;2e leerjaar;1;50;De Piramide
2012-2013;1e leerjaar;12;59;De Piramide
2012-2013;2e leerjaar;5;44;De Piramide
2012-2013;3e leerjaar;5;47;De Piramide
2012-2013;4e leerjaar;5;47;De Piramide
2012-2013;5e leerjaar;2;44;De Piramide
2012-2013;6e leerjaar;0;25;De Piramide
2011-2012;1e leerjaar;11;58;De Piramide
2010-2011;4e leerjaar;3;42;De Piramide
2013-2014;1e leerjaar;9;58;De Piramide
2010-2011;1e leerjaar;15;54;De Piramide
2013-2014;3e leerjaar;5;47;De Piramide
2010-2011;5e leerjaar;3;32;De Piramide
2013-2014;5e leerjaar;0;39;De Piramide
2013-2014;6e leerjaar;0;35;De Piramide
2013-2014;4e leerjaar;1;38;De Piramide
2010-2011;2e leerjaar;7;46;De Piramide
2010-2011;3e leerjaar;1;45;De Piramide
2019-2020;3e leerjaar;2;50;De Piramide
2019-2020;2e leerjaar;4;44;De Piramide
2019-2020;1e leerjaar;6;48;De Piramide
2019-2020;6e leerjaar;0;33;De Piramide
2019-2020;4e leerjaar;3;47;De Piramide
2019-2020;5e leerjaar;6;46;De Piramide
2018-2019;4e leerjaar;2;40;De Piramide
2016-2017;6e leerjaar;0;20;De Piramide
2016-2017;5e leerjaar;3;48;De Piramide
2016-2017;4e leerjaar;3;43;De Piramide
2016-2017;3e leerjaar;4;47;De Piramide
2016-2017;2e leerjaar;3;48;De Piramide
2016-2017;1e leerjaar;10;55;De Piramide
2017-2018;6e leerjaar;0;44;De Piramide
2018-2019;5e leerjaar;7;50;De Piramide
2018-2019;3e leerjaar;4;47;De Piramide
2018-2019;2e leerjaar;6;52;De Piramide
2018-2019;1e leerjaar;6;50;De Piramide
2017-2018;5e leerjaar;0;41;De Piramide
2017-2018;4e leerjaar;2;49;De Piramide
2017-2018;3e leerjaar;1;44;De Piramide
2017-2018;2e leerjaar;4;50;De Piramide
2017-2018;1e leerjaar;11;56;De Piramide
2018-2019;6e leerjaar;1;28;De Piramide
2011-2012;5e leerjaar;0;26;De Schroef
2011-2012;4e leerjaar;0;14;De Schroef
2011-2012;3e leerjaar;0;18;De Schroef
2011-2012;2e leerjaar;1;26;De Schroef
2011-2012;1e leerjaar;1;22;De Schroef
2012-2013;3e leerjaar;0;24;De Schroef
2010-2011;2e leerjaar;1;18;De Schroef
2010-2011;3e leerjaar;0;17;De Schroef
2010-2011;4e leerjaar;1;26;De Schroef
2011-2012;6e leerjaar;1;20;De Schroef
2010-2011;5e leerjaar;2;22;De Schroef
2010-2011;6e leerjaar;0;16;De Schroef
2010-2011;1e leerjaar;3;30;De Schroef
2013-2014;5e leerjaar;1;14;De Schroef
2014-2015;1e leerjaar;4;29;De Schroef
2015-2016;4e leerjaar;0;17;De Schroef
2015-2016;5e leerjaar;0;23;De Schroef
2012-2013;6e leerjaar;0;22;De Schroef
2014-2015;3e leerjaar;0;19;De Schroef
2014-2015;4e leerjaar;0;22;De Schroef
2014-2015;5e leerjaar;0;23;De Schroef
2013-2014;1e leerjaar;7;32;De Schroef
2013-2014;2e leerjaar;0;22;De Schroef
2014-2015;2e leerjaar;0;26;De Schroef
2013-2014;4e leerjaar;0;23;De Schroef
2015-2016;6e leerjaar;0;22;De Schroef
2013-2014;6e leerjaar;0;11;De Schroef
2015-2016;3e leerjaar;0;24;De Schroef
2014-2015;6e leerjaar;0;12;De Schroef
2015-2016;2e leerjaar;0;25;De Schroef
2015-2016;1e leerjaar;1;26;De Schroef
2012-2013;2e leerjaar;1;21;De Schroef
2012-2013;4e leerjaar;0;13;De Schroef
2012-2013;5e leerjaar;2;14;De Schroef
2012-2013;1e leerjaar;2;30;De Schroef
2013-2014;3e leerjaar;0;20;De Schroef
2016-2017;6e leerjaar;0;22;De Schroef
2016-2017;1e leerjaar;5;25;De Schroef
2016-2017;2e leerjaar;1;23;De Schroef
2016-2017;3e leerjaar;1;23;De Schroef
2018-2019;1e leerjaar;2;30;De Schroef
2016-2017;5e leerjaar;1;17;De Schroef
2019-2020;3e leerjaar;1;24;De Schroef
2018-2019;6e leerjaar;0;18;De Schroef
2018-2019;5e leerjaar;0;23;De Schroef
2018-2019;3e leerjaar;0;22;De Schroef
2018-2019;2e leerjaar;0;25;De Schroef
2019-2020;6e leerjaar;0;21;De Schroef
2019-2020;5e leerjaar;0;21;De Schroef
2019-2020;4e leerjaar;0;23;De Schroef
2019-2020;1e leerjaar;3;25;De Schroef
2019-2020;2e leerjaar;2;25;De Schroef
2016-2017;4e leerjaar;0;24;De Schroef
2018-2019;4e leerjaar;0;19;De Schroef
2017-2018;6e leerjaar;0;14;De Schroef
2017-2018;5e leerjaar;1;21;De Schroef
2017-2018;4e leerjaar;2;24;De Schroef
2017-2018;3e leerjaar;0;21;De Schroef
2017-2018;2e leerjaar;0;22;De Schroef
2017-2018;1e leerjaar;7;29;De Schroef
2015-2016;2e leerjaar;1;34;De Beren
2014-2015;3e leerjaar;0;42;De Beren
2015-2016;3e leerjaar;2;47;De Beren
2015-2016;4e leerjaar;1;40;De Beren
2015-2016;5e leerjaar;0;19;De Beren
2011-2012;1e leerjaar;0;21;De Beren
2011-2012;2e leerjaar;0;32;De Beren
2011-2012;3e leerjaar;0;21;De Beren
2011-2012;4e leerjaar;2;21;De Beren
2011-2012;5e leerjaar;0;17;De Beren
2015-2016;1e leerjaar;1;37;De Beren
2010-2011;3e leerjaar;0;19;De Beren
2015-2016;6e leerjaar;0;31;De Beren
2013-2014;6e leerjaar;0;18;De Beren
2013-2014;5e leerjaar;0;26;De Beren
2013-2014;4e leerjaar;0;28;De Beren
2013-2014;3e leerjaar;0;20;De Beren
2013-2014;2e leerjaar;1;41;De Beren
2013-2014;1e leerjaar;1;42;De Beren
